Тест,А,Б,В,Г,Д
biology-2020-додаткова сесія,16,13,18,17,6
biology-2020-основна сесія,13,16,18,16,7
biology-2020-пробний тест,16,13,17,17,7
biology-2019-основна сесія,14,18,15,17,4
biology-2019-додаткова сесія,16,17,11,17,7
biology-2019-пробний тест,12,17,18,15,6
biology-2018-основна сесія,17,14,15,16,6
biology-2018-додаткова сесія,14,14,17,17,6
biology-2018-пробний тест,18,14,13,15,8
biology-2017-основна сесія,16,14,16,14,4
biology-2017-додаткова сесія,12,16,16,14,6
biology-2017-пробний тест,14,14,18,14,4
biology-2016-основна сесія,15,18,15,14,2
biology-2016-додаткова сесія,17,11,17,15,4
biology-2016-пробний тест,12,14,18,15,5
biology-2015-основна сесія,16,13,15,16,4
biology-2015-додаткова сесія,15,17,12,15,5
biology-2015-пробний тест,14,13,17,14,6
biology-2014-основна сесія,16,14,21,17,6
biology-2014-додаткова сесія,19,18,18,15,4
biology-2014-пробний тест,13,17,19,20,5
biology-2013-основна сесія,18,19,18,16,3
biology-2013-пробний тест,16,17,18,19,4
biology-2012-основна сесія,15,21,21,19,6
biology-2012-пробний тест,15,23,23,17,4
biology-2011-основна сесія,16,24,22,14,6
biology-2011-пробний тест,14,18,23,22,5
biology-2010-основна сесія,17,21,22,24,6
biology-2010-пробний тест,11,30,24,18,7
