Тест,А,Б,В,Г,Д
geography-2020-додаткова сесія,15,12,14,15,4
geography-2020-основна сесія,14,14,15,12,5
geography-2020-пробний тест,13,16,15,13,3
geography-2019-основна сесія,15,14,14,14,3
geography-2019-додаткова сесія,16,14,14,12,4
geography-2019-пробний тест,13,17,14,13,3
geography-2018-основна сесія,14,14,15,13,4
geography-2018-додаткова сесія,15,14,15,14,2
geography-2018-пробний тест,15,18,11,11,5
geography-2017-основна сесія,15,17,16,16,2
geography-2017-додаткова сесія,17,16,16,14,3
geography-2017-пробний тест,16,17,13,16,4
geography-2016-основна сесія,17,17,15,13,4
geography-2016-додаткова сесія,15,18,17,13,3
geography-2016-пробний тест,12,18,14,18,4
geography-2015-основна сесія,17,14,17,15,3
geography-2015-додаткова сесія,14,15,18,15,4
geography-2015-пробний тест,17,17,16,12,4
geography-2014-основна сесія,15,15,14,17,5
geography-2014-пробний тест,16,16,18,13,3
geography-2013-основна сесія,17,14,16,15,4
geography-2013-пробний тест,17,15,17,13,4
geography-2012-основна сесія,20,18,15,18,3
geography-2012-пробний тест,20,18,17,16,3
geography-2011-основна сесія,20,21,21,20,4
geography-2011-пробний тест,21,20,19,21,5
geography-2010-основна сесія,25,29,27,18,7
geography-2010-пробний тест,28,21,26,23,8
