Тест,А,Б,В,Г,Д
mathematics-2021-2021 року,7,7,5,6,3
mathematics-2020-основна сесія,8,5,5,9,5
mathematics-2020-додаткова сесія,6,6,5,9,6
mathematics-2020-пробний тест,6,7,7,5,7
mathematics-2019-основна сесія,9,6,6,8,7
mathematics-2019-додаткова сесія,8,7,7,7,7
mathematics-2019-пробний тест,7,7,7,7,8
mathematics-2018-основна сесія,7,7,5,8,9
mathematics-2018-додаткова сесія,6,7,6,9,8
mathematics-2018-пробний тест,7,7,8,8,6
mathematics-2017-основна сесія,7,6,7,10,6
mathematics-2017-додаткова сесія,6,7,7,9,7
mathematics-2017-пробний тест,9,7,7,5,8
mathematics-2016-основна сесія,9,7,5,9,6
mathematics-2016-додаткова сесія,7,6,7,9,7
mathematics-2016-пробний тест,8,4,7,8,9
mathematics-2015-основна сесія,9,8,7,6,6
mathematics-2015-додаткова сесія,7,7,7,7,8
mathematics-2015-пробний тест,7,8,7,7,7
mathematics-2014-основна сесія,7,7,7,9,6
mathematics-2014-додаткова сесія,8,8,7,8,5
mathematics-2014-пробний тест,8,6,6,11,5
mathematics-2013-1 сесія,6,8,5,9,8
mathematics-2013-2 сесія,7,7,8,7,7
mathematics-2013-пробний тест,9,7,5,9,6
mathematics-2012-1 сесія,8,7,6,8,7
mathematics-2012-2 сесія,8,8,7,5,8
mathematics-2012-пробний тест,7,7,7,8,7
mathematics-2011-основна сесія,8,7,8,7,7
mathematics-2011-пробний тест,7,8,8,7,7
mathematics-2010-1 сесія,7,8,6,8,8
mathematics-2010-2 сесія,7,7,7,8,8
mathematics-2010-пробний тест,6,8,8,7,8
mathematics-2010-пробний тест,6,8,8,7,8
mathematics-2009-основна сесія,4,3,4,5,4
mathematics-2008-основна сесія,5,6,6,4,4
mathematics-2007-основна сесія,4,3,3,5,5
