Тест,А,Б,В,Г,Д
physics-2020-основна сесія,9,9,7,8,3
physics-2020-додаткова сесія,11,9,7,6,3
physics-2020-пробний тест,9,6,10,7,4
physics-2019-основна сесія,7,11,13,6,3
physics-2019-додаткова сесія,8,7,11,8,4
physics-2019-пробний тест,8,12,11,7,2
physics-2018-основна сесія,12,8,9,9,2
physics-2018-додаткова сесія,7,9,9,11,4
physics-2018-пробний тест,12,8,8,8,4
physics-2017-основна сесія,9,9,7,9,2
physics-2017-додаткова сесія,8,10,8,7,3
physics-2017-пробний тест,3,13,7,9,4
physics-2016-основна сесія,10,8,8,7,3
physics-2016-додаткова сесія,7,9,10,8,2
physics-2016-пробний тест,7,7,11,9,2
physics-2015-основна сесія,7,8,8,7,2
physics-2015-додаткова сесія,7,8,8,7,2
physics-2015-пробний тест,7,8,8,7,2
physics-2014-основна сесія,9,10,7,8,2
physics-2014-пробний тест,9,10,9,6,2
physics-2013-основна сесія,7,10,10,7,2
physics-2013-пробний тест,6,12,9,6,3
physics-2012-основна сесія,7,10,15,7,3
physics-2012-пробний тест,8,10,10,12,2
physics-2011-основна сесія,8,10,10,10,3
physics-2011-пробний тест,7,11,12,8,3
physics-2010-основна сесія,10,4,9,8,2
physics-2010-пробний тест,7,8,9,8,1
physics-2009-основна сесія,6,10,7,12,2
physics-2008-основна сесія,7,11,10,6,3
physics-2007-основна сесія,8,4,11,7,3
