Тест,A,B,C,D,E,F,G,H,I
spanish-2020-додаткова сесія,14,13,14,8,3,1,2,3,
spanish-2020-основна сесія,14,16,10,9,1,3,3,2,
spanish-2020-пробний тест,14,15,12,8,3,2,1,3,
spanish-2019-основна сесія,15,15,11,9,2,3,2,1,
spanish-2019-додаткова сесія,16,13,12,9,1,2,3,2,
spanish-2019-пробний тест,17,13,11,9,1,3,3,1,
spanish-2018-основна сесія,12,16,13,8,2,3,1,3,
spanish-2018-додаткова сесія,15,14,12,8,3,0,3,3,
spanish-2018-пробний тест,17,15,9,8,3,2,3,1,
spanish-2018-пробний тест,17,15,9,8,3,2,3,1,
spanish-2017-основна сесія,9,7,10,8,1,3,3,1,
spanish-2017-додаткова сесія,8,8,7,9,3,3,1,3,
spanish-2017-пробний тест,12,9,7,6,2,2,1,3,
spanish-2016-основна сесія,10,5,7,10,3,2,2,3,
spanish-2016-пробний тест,8,10,6,9,2,2,2,3,
spanish-2015-основна сесія,8,7,8,9,3,3,2,2,
spanish-2014-основна сесія,10,7,8,8,2,2,2,3,
spanish-2014-пробний тест,9,8,9,9,2,2,1,2,
spanish-2013-основна сесія,10,9,8,7,3,2,2,1,
spanish-2012-основна сесія,10,8,7,7,3,1,2,2,2
spanish-2012-пробний тест,11,6,8,7,2,3,1,2,2
spanish-2011-основна сесія,7,7,8,8,4,3,3,3,2
spanish-2011-пробний тест,8,7,8,8,3,3,3,4,1
spanish-2010-основна сесія,9,7,8,6,2,5,3,4,2
spanish-2010-пробний тест,6,9,11,5,5,3,4,2,1
