Тест,А,Б,В,Г,Д
ukraine-history-2020-додаткова сесія,21,21,18,20,6
ukraine-history-2020-основна сесія,21,21,22,17,5
ukraine-history-2020-пробний тест,20,23,21,20,2
ukraine-history-2019-основна сесія,21,21,22,19,3
ukraine-history-2019-додаткова сесія,26,18,19,19,4
ukraine-history-2019-пробний тест,20,26,19,18,3
ukraine-history-2018-основна сесія,21,23,18,20,4
ukraine-history-2018-додаткова сесія,19,22,21,19,5
ukraine-history-2018-пробний тест,22,24,17,20,3
ukraine-history-2017-основна сесія,21,13,24,24,4
ukraine-history-2017-додаткова сесія,22,22,18,19,5
ukraine-history-2017-пробний тест,19,20,21,22,4
ukraine-history-2016-основна сесія,22,18,19,24,3
ukraine-history-2016-додаткова сесія,21,25,21,16,3
ukraine-history-2016-пробний тест,20,21,21,20,4
ukraine-history-2015-основна сесія,18,18,18,25,3
ukraine-history-2015-додаткова сесія,20,19,19,18,6
ukraine-history-2015-пробний тест,22,17,20,19,4
ukraine-history-2014-додаткова сесія,21,17,22,17,5
ukraine-history-2014-основна сесія,17,21,21,19,4
ukraine-history-2014-пробний тест,20,18,20,20,4
ukraine-history-2013-додаткова сесія,22,17,19,16,4
ukraine-history-2013-1 сесія,16,18,17,22,5
ukraine-history-2013-2 сесія,17,19,21,16,5
ukraine-history-2013-пробний тест,18,22,19,14,5
ukraine-history-2012-додаткова сесія,20,17,22,17,4
ukraine-history-2012-1 сесія,18,20,17,20,5
ukraine-history-2012-2 сесія,19,19,20,18,4
ukraine-history-2012-пробний тест,17,21,21,17,4
ukraine-history-2011-додаткова сесія,19,19,21,17,4
ukraine-history-2011-основна сесія,20,20,17,20,3
ukraine-history-2011-пробний тест,21,16,18,22,3
ukraine-history-2010-додаткова сесія,20,22,21,21,6
ukraine-history-2010-1 сесія,21,23,19,22,5
ukraine-history-2010-2 сесія,17,19,18,18,6
ukraine-history-2010-пробний тест,21,23,20,22,4
ukraine-history-2009-основна сесія,23,26,26,21,4
ukraine-history-2008-основна сесія,17,23,22,16,4
ukraine-history-2007-основна сесія,25,21,21,18,3
