Тест,А,Б,В,Г,Д
ukrainian-2021-2021 року,21,19,20,15,15
ukrainian-2020-додаткова сесія,15,18,19,17,15
ukrainian-2020-основна сесія,17,17,17,17,16
ukrainian-2020-пробний тест,17,17,20,18,12
ukrainian-2019-основна сесія,16,16,18,19,15
ukrainian-2019-додаткова сесія,17,17,14,18,18
ukrainian-2019-пробний тест,16,19,15,18,16
ukrainian-2018-основна сесія,17,18,15,20,14
ukrainian-2018-додаткова сесія,17,17,16,18,16
ukrainian-2018-пробний тест,15,18,15,20,16
ukrainian-2017-основна сесія,16,17,16,19,16
ukrainian-2017-додаткова сесія,14,18,15,19,18
ukrainian-2017-пробний тест,19,16,17,18,14
ukrainian-2016-основна сесія,14,17,23,20,10
ukrainian-2016-додаткова сесія,17,18,18,18,13
ukrainian-2016-пробний тест,15,15,22,19,13
ukrainian-2015-основна сесія,19,18,18,15,14
ukrainian-2015-додаткова сесія,21,21,13,13,16
ukrainian-2015-пробний тест,16,17,17,21,13
ukrainian-2015-пробний тест,16,17,17,21,13
ukrainian-2014-1 сесія,20,17,15,20,15
ukrainian-2014-2 сесія,17,22,19,16,13
ukrainian-2014-додаткова сесія,18,16,22,18,13
ukrainian-2014-пробний тест,26,16,15,17,13
ukrainian-2013-1 сесія,14,18,19,20,16
ukrainian-2013-2 сесія,20,17,16,18,16
ukrainian-2013-пробний тест,18,24,15,17,13
ukrainian-2012-1 сесія,21,20,15,18,13
ukrainian-2012-2 сесія,21,22,16,15,13
ukrainian-2012-пробний тест,20,19,18,18,12
ukrainian-2011-1 сесія,18,23,17,19,10
ukrainian-2011-2 сесія,20,18,16,19,14
ukrainian-2011-пробний тест,19,17,17,19,15
ukrainian-2010-1 сесія,14,19,16,22,16
ukrainian-2010-2 сесія,16,20,16,19,16
ukrainian-2010-3 сесія,15,16,24,18,14
ukrainian-2010-пробний тест,14,19,20,16,18
ukrainian-2009-основна сесія,16,21,20,16,14
ukrainian-2009-пробний тест,22,22,13,20,10
ukrainian-2008-основна сесія,18,17,17,12,8
ukrainian-2008-пробний тест,12,21,17,16,6
ukrainian-2007-основна сесія,12,16,11,13,8
ukrainian-2006-основна сесія,8,19,16,11,8
ukrainian-2006-пробний тест,9,14,15,9,7
